filename,audio_only_prediction,video_only_prediction,audio_video_prediction
aber_0153-0434,Das ist der Ort und dann.,Wollen Dank.,Das ist ganz gut.
aber_0140-0057,Ich kann aber nicht davon.,Was ist der Leute?,Ich kann aber nicht davon.
aber_0140-0056,Alles aber nicht so gleich.,(Applaus),Das ist aber vielleicht nicht.
aber_0144-0194,Alle aber nicht.,Eine Meter.,Alle aber nicht.
aber_0163-0665,Aber sie ist keinen Ums.,(Applaus),Aber sie ist kein Dr.
aber_0167-0757,Das muss ich noch etwas mehr.,Was muss man nicht mehr?,Das muss ich noch etwas mehr.
abgeordneten_0028-0081,Das ist die Abgor hat.,Er hat man abend.,Was ist die Abende sind über.
aber_0154-0482,"""Wie, aber keine wunder.""",(Applaus),"""Wied, aber keine Bein."""
aber_0158-0538,Das sind aber auch nicht.,"""Das sind winutert, die Clöd.""",Das sind aber auch nicht.
abgeordneten_0030-0084,Sie sind abgelehrten uns.,Ein mapplodot.,Wir sind sehr abgeordnen.
aber_0146-0241,"""B. Flter aber manchmal, aber manchmal.""",Vielen Dank.,"""B. dabei, aber manchmal."""
aber_0162-0636,Allen wir mal aber auch berichtet.,Was ist der Nam.,All nehmen das Leben aber auch recht.
abgeordneten_0038-0107,"""Ich trautete, weilete Mordnet.""",(Applaus),Abgewartet abgeorten.
abgeordneten_0050-0121,Das sind abgeschnentanen.,Denken Sie nur zuhören?,Das sind abgeschnentruppen.
abgeordneten_0046-0118,Wir sind Nachden und sie von uns.,Sie machen die Notesten.,"""Das ist ab, ob er in den Sinn."""
abgeordneten_0023-0073,"""So ist übrigens, der Abgarten des.",Lasser ging nunmenschäukieren.,Der Abgarte gehaben da.
abgeordneten_0132-0171,(Beifall),(Lachen),(Lachen)
abgeordneten_0220-0224,(Applaus),Vielen Dank.,(Applaus)
abgeordneten_0062-0130,Ich bin diese Glimme.,(Applaus),Ich bin hier geben.
abgeordneten_0132-0170,Die Einsatz wank.,(Applaus),Die Einsatz Danke.
allein_0206-0396,Das ist allein.,(Lachen),Das ist alleine oder ihn.
allein_0196-0383,Das ist das alleine im Land.,(Applaus),Das ist allein im Land.
allein_0126-0289,Gar nicht allein.,Das ist der Kohlentlich die Händerkrei.,Ganz ganal.
allein_0192-0373,Tessone in der Leer.,(Applaus),Ten alleine in der Late.
allein_0167-0339,Das ist alleine gelaufen.,So meine Hobob hoch.,Das sind allein im Augen.
allein_0005-1322,"""Ihreshaf allein, allein sie.""",Sie sind der Klein.,"""Ist tatsächlich, tat allein für dieses."""
